dataset,bs,epochs,accuracy,top1,top3,top5,precision,recall,specificity,f1,auc_macro,kappa
apple,16,5,0.6852589641434262,0.6852589641434262,0.9641434262948207,1.0,0.714473385427102,0.7015355039445967,0.9188594039954385,0.6873050711720788,nan,0.600865539452496
apple,16,10,0.7888446215139442,0.7888446215139442,0.9840637450199203,1.0,0.8067102962646976,0.7970041138071824,0.9456612545008142,0.8010201501890496,nan,0.7325062334110835
apple,32,10,0.6733067729083665,0.6733067729083665,0.9442231075697212,1.0,0.6947786229116153,0.6884914195958938,0.9158187254175459,0.6774358400140628,nan,0.5857252123505494
apple,32,20,0.7808764940239044,0.7808764940239044,0.9840637450199203,1.0,0.8297358197358197,0.7942634286358897,0.9436678797068515,0.7955583969869684,nan,0.7228356890459364
apple,48,20,0.7330677290836654,0.7330677290836654,0.9681274900398407,1.0,0.7789546508258476,0.7461732800266961,0.931171848716347,0.737229014778532,nan,0.6616229702810922
apple,48,30,0.8326693227091634,0.8326693227091634,0.9800796812749004,1.0,0.8551803919001484,0.8501082131596365,0.9568928697636281,0.8499368348187246,nan,0.7886061481080431
apple,64,30,0.8446215139442231,0.8446215139442231,0.9840637450199203,1.0,0.8767670977573454,0.8554005868534029,0.95991939530309,0.8589671353738474,nan,0.8034218928851136
apple,64,40,0.8605577689243028,0.8605577689243028,0.9800796812749004,1.0,0.8723964315012307,0.8744469393506181,0.9642635095946132,0.8718878383127899,nan,0.82390201856195
plant_village,16,5,0.5054824561403509,0.5054824561403509,0.7642543859649122,0.8410087719298246,0.5150572108219947,0.5054824561403507,0.9866346609656552,0.47133906792898456,nan,0.49211711711711703
plant_village,16,10,0.6732456140350878,0.6732456140350878,0.875,0.9276315789473685,0.6985636766453759,0.6732456140350878,0.9911688003681647,0.6597975119005509,nan,0.6644144144144144
plant_village,32,10,0.6162280701754386,0.6162280701754386,0.8048245614035088,0.8892543859649122,0.6537253052122255,0.6162280701754387,0.9896277856692725,0.5972799588344938,nan,0.6058558558558558
plant_village,32,20,0.7752192982456141,0.7752192982456141,0.9221491228070176,0.9583333333333334,0.7867822109309366,0.775219298245614,0.9939248458873375,0.7676370274070708,nan,0.7691441441441441
plant_village,48,20,0.7269736842105263,0.7269736842105263,0.8980263157894737,0.9418859649122807,0.7384366778810121,0.7269736842105263,0.9926209103728901,0.7174146663555545,nan,0.7195945945945945
plant_village,48,30,0.8388157894736842,0.8388157894736842,0.9528508771929824,0.9747807017543859,0.8483587818199377,0.8388157894736841,0.9956436699745629,0.8346445908898672,nan,0.8344594594594594
plant_village,64,30,0.8103070175438597,0.8103070175438597,0.9320175438596491,0.9594298245614035,0.8197229458293608,0.8103070175438596,0.9948731626251169,0.8062848194918283,nan,0.8051801801801801
plant_village,64,40,0.8607456140350878,0.8607456140350878,0.9660087719298246,0.9857456140350878,0.8693242126302951,0.8607456140350876,0.9962363679356754,0.8585110447987395,nan,0.8569819819819819
PDD_Pretrained,16,5,0.1314655172413793,0.1314655172413793,0.30387931034482757,0.40948275862068967,0.05657144710897247,0.1314655172413793,0.9924475262153066,0.06891699244758023,nan,0.12391304347826093
PDD_Pretrained,16,10,0.19181034482758622,0.19181034482758622,0.35560344827586204,0.4978448275862069,0.1457843706642548,0.19181034482758622,0.9929722638464796,0.13557457208707693,nan,0.18478260869565222
PDD_Pretrained,32,10,0.1400862068965517,0.1400862068965517,0.3297413793103448,0.44396551724137934,0.07550613195177006,0.1400862068965517,0.9925224887340455,0.08115741441294187,nan,0.13260869565217392
PDD_Pretrained,32,20,0.2521551724137931,0.2521551724137931,0.46336206896551724,0.6056034482758621,0.24469048230958393,0.2521551724137931,0.9934970014776527,0.20502192208140702,nan,0.2456521739130435
PDD_Pretrained,48,20,0.22629310344827586,0.22629310344827586,0.4224137931034483,0.5387931034482759,0.20112336690022115,0.22629310344827586,0.9932721139214356,0.1783741819992754,nan,0.2195652173913043
PDD_Pretrained,48,30,0.30603448275862066,0.30603448275862066,0.5344827586206896,0.6594827586206896,0.3050708068792776,0.30603448275862066,0.9939655172197713,0.2673245918682024,nan,0.30000000000000004
PDD_Pretrained,64,30,0.2672413793103448,0.2672413793103448,0.4849137931034483,0.6336206896551724,0.2687324564099412,0.2672413793103448,0.9936281858854459,0.23028496004902538,nan,0.26086956521739135
PDD_Pretrained,64,40,0.33620689655172414,0.33620689655172414,0.5646551724137931,0.6939655172413793,0.3406175157950006,0.33620689655172414,0.9942278860353578,0.2987817782255702,nan,0.33043478260869563
agricultural_pests,16,5,0.14625850340136054,0.14625850340136054,0.36394557823129253,0.5340136054421769,0.13930235933141413,0.14625850340136057,0.922387136655738,0.11051124074369907,nan,0.06864564007421148
agricultural_pests,16,10,0.21258503401360543,0.21258503401360543,0.4370748299319728,0.6326530612244898,0.17330806111834482,0.21258503401360543,0.9284168212567393,0.16565167136883022,nan,0.1410018552875696
agricultural_pests,32,10,0.17346938775510204,0.17346938775510204,0.42517006802721086,0.6105442176870748,0.160740446808563,0.173469387755102,0.9248608534151231,0.14434106126647514,nan,0.0983302411873841
agricultural_pests,32,20,0.2585034013605442,0.2585034013605442,0.5221088435374149,0.7108843537414966,0.27357259669403916,0.2585034013605442,0.9325912182882018,0.23305760031984987,nan,0.19109461966604824
agricultural_pests,48,20,0.2585034013605442,0.2585034013605442,0.5187074829931972,0.7006802721088435,0.24429991008136068,0.2585034013605442,0.9325912182882017,0.22452359020249393,nan,0.19109461966604824
agricultural_pests,48,30,0.282312925170068,0.282312925170068,0.5476190476190477,0.7278911564625851,0.2680829747179075,0.28231292517006806,0.9347557204526638,0.2513421098041161,nan,0.21706864564007422
agricultural_pests,64,30,0.2653061224489796,0.2653061224489796,0.5425170068027211,0.7159863945578231,0.22011503034052513,0.2653061224489796,0.9332096474780481,0.23453318614956195,nan,0.1985157699443414
agricultural_pests,64,40,0.31462585034013607,0.31462585034013607,0.5680272108843537,0.7329931972789115,0.3002949391955875,0.31462585034013607,0.9376932591044335,0.28558084692156743,nan,0.25231910946196656
